商品名,英文品名,許可證字號,藥品分類,劑型,規格,主要成分,適應症摘要,推定用途分類,適應症完整原文,持有廠商,是否有效,備註,資料來源
“派頓”克多克乳膏 20 毫克/公克 (克多可那挫),Ketoco Cream 20mg/g”Patron”(Ketoconazole),衛署藥製字第049752號,處方藥,乳膏劑,鋁軟管,Ketoconazole,黴菌感染,香港腳／股癬／體癬／黴菌感染,皮膚黴菌和酵母菌所引起的皮膚、頭髮、指甲感染症。,臺灣派頓化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_98d72377-04d6-484a-8806-918d0dd5290a?c=2；https://mcp.fda.gov.tw/insert/lablefiles/027b7cd0-155a-4f56-a799-40554f127fd1_0?c=2
康黴安噴劑 10 毫克/公克,Binafine Spray 10mg/g,衛署藥製字第049765號,指示藥,外用噴液劑,塑膠瓶裝,Terbinafine,黴菌感染；香港腳；股癬；體癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如足癬(香港腳)、體癬、股癬、汗斑。,國品藥品實業有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049765號；https://mcp.fda.gov.tw/insert/lablefiles/cc2966c3-915e-4ca3-ae98-3a0f6e1c6524_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/cc2966c3-915e-4ca3-ae98-3a0f6e1c6524_1?c=2
特那乳膏 10 毫克/公克,Terna Cream 10mg/gm,衛署藥製字第049768號,指示藥,乳膏劑,鋁管裝,Terbinafine,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如足癬(香港腳)、股癬、汗斑。,臺灣派頓化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_ef9c31a8-0606-441c-bbd7-b1b2247ce454?c=2；https://mcp.fda.gov.tw/insert/lablefiles/4dbe5968-65a5-4f61-a3a7-50881aeac626_0?c=2
“派頓”托樂蒂乳膏 1 毫克/公克,Tarote Cream 1mg/gm”Patron”,衛署藥製字第049786號,處方藥,乳膏劑,鋁軟管,Tazarotene,青春痘；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,青春痘外用藥；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,乾癬及尋常性痤瘡。,臺灣派頓化學製藥股份有限公司,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_73b1445e-a454-4994-ab9c-0ae20e5cd13d?c=2；https://mcp.fda.gov.tw/insert/lablefiles/93c5ac47-cc95-474d-ae18-ab9e992e665c_1?c=2
"""昱任""祛膚欣軟膏 1 毫克/公克",Qutacin Ointment 1mg/gm “Yunzan”,衛署藥製字第049793號,處方藥,軟膏劑,鋁管裝;;塑膠瓶裝,Gentamicin,濕疹；皮膚炎；膿皰；燙傷,濕疹／皮膚炎；細菌感染／膿皰／傷口感染；燙傷／傷口照護,發膿性皮膚病、感染性濕疹、皮膚炎、灼傷及其他革蘭氏陰性、陽性菌之感染。,昱任藥品有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
“榮民”安您星凝膠 1%,Anesin gel 1% (Dibucaine),衛署藥製字第049802號,指示藥,外用凝膠劑,鋁軟管,Dibucaine,搔癢；消炎止痛,蕁麻疹／搔癢；疼痛／消炎止痛外用藥,昆蟲咬傷或皮膚刺激所引起之疼痛及搔癢。,榮民製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049802號；https://mcp.fda.gov.tw/insert/lablefiles/ed944509-0ead-4791-8d84-27739f286568_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/ed944509-0ead-4791-8d84-27739f286568_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/ed944509-0ead-4791-8d84-27739f286568_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/ed944509-0ead-4791-8d84-27739f286568_1?c=2
瑪克癬乳膏 0.5%,Myconxin Cream 0.5%,衛署藥製字第049804號,處方藥,乳膏劑,塑膠瓶裝;;鋁軟管,Amorolfine Hydrochloride (Eq. To Amorolfine,黴菌感染,香港腳／股癬／體癬／黴菌感染,足白癬(趾間，蹠)、體部白癬(含臂部、手臂、腳背)，股部白癬，間擦疹型皮膚念珠菌症，花斑癬(汗斑)。,盛雲藥品股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_025ecf12-e718-4827-b447-2f0718d60b71?c=2；https://mcp.fda.gov.tw/insert/lablefiles/330a7351-aa21-4a00-b7f0-966d5ab63e3b_1?c=2
必膚樂乳膏 10 毫克/公克 (百弗那挫),Bifol Cream 10mg/gm (BIFONAZOLE),衛署藥製字第049809號,處方藥,乳膏劑,鋁軟管,Bifonazole,黴菌感染,香港腳／股癬／體癬／黴菌感染,由皮膚真菌屬、酵母菌屬、黴菌及其他種真菌所引起之感染症。,護民企業股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/lablefiles/d08ee41e-1ab0-4b3d-9da6-8602e2b16e7d_0?c=2
袪皮黴 洗髮液 1.5% w/w,Cipimine Liquid 1.5% w/w,衛署藥製字第049810號,指示藥,外用液劑,塑膠瓶裝,Ciclopirox,黴菌感染,香港腳／股癬／體癬／黴菌感染,減少因黴菌感染所引起的頭皮屑治療之輔助劑。,人人化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049810號；https://mcp.fda.gov.tw/insert/lablefiles/0ffd6953-1214-4605-8128-2cf637efd99e_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/0ffd6953-1214-4605-8128-2cf637efd99e_2?c=2
康足噴劑 10 毫克/公克,Ternafin Spray 10mg/g,衛署藥製字第049839號,指示藥,外用噴液劑,塑膠瓶裝,Terbinafine,黴菌感染；香港腳；股癬；體癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如：足癬(香港腳)、體癬、股癬、汗斑。,人人化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049839號；https://mcp.fda.gov.tw/insert/lablefiles/00d2d6b6-ce55-4ec2-aa7a-256f72b08122_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/00d2d6b6-ce55-4ec2-aa7a-256f72b08122_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/00d2d6b6-ce55-4ec2-aa7a-256f72b08122_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/00d2d6b6-ce55-4ec2-aa7a-256f72b08122_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/00d2d6b6-ce55-4ec2-aa7a-256f72b08122_3?c=2
“福元”欣三聯乳膏,Three-unite Cream“F.Y.”,衛署藥製字第049842號,處方藥,乳膏劑,鋁軟管;;塑膠瓶裝;;塑膠軟管裝;;塑膠瓶裝,Betamethasone；Gentamicin；Clotrimazole,黴菌感染；細菌感染,香港腳／股癬／體癬／黴菌感染；細菌感染／膿皰／傷口感染,治療敏感性皮膚病和細菌或黴菌所引起之皮膚感染症。,福元化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049842號；https://mcp.fda.gov.tw/insert/lablefiles/ba9ab14a-c15e-49ee-b42a-b9821d330434_3?c=2
潔黴樂噴劑 10 毫克/公克,Bina Spray 10mg/g,衛署藥製字第049852號,指示藥,外用噴液劑,塑膠瓶裝,Terbinafine,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如足癬(香港腳)、股癬、汗斑。,護民企業股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_cf21320e-f5ca-4eea-8494-8c703eb82b4e?c=2；https://mcp.fda.gov.tw/insert/lablefiles/d53394d8-0f65-4d9b-a6a8-0ffc4c1181e7_0?c=2
“派頓”膚樂欣乳膏 0.5 毫克/公克,Funocin Cream 0.5mg/g“Patron”,衛署藥製字第049853號,處方藥,乳膏劑,鋁軟管,Fluocinonide,濕疹；皮膚炎；膿皰；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,濕疹／皮膚炎；細菌感染／膿皰／傷口感染；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,濕疹、乾癬、進行性指掌角化症、苔蘚、放射線皮膚炎、日光皮膚炎、蕁麻疹樣苔癬、蕁麻疹、掌蹠性膿&#30129;症、圓形脫毛型、尋常性白斑、女性顏面黑皮症。,臺灣派頓化學製藥股份有限公司,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049853號；https://mcp.fda.gov.tw/insert/lablefiles/20f51731-dc6a-4513-a414-ac4d105ff31e?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4fbdd114-c7d0-4cf8-9892-54a3de69eda8?c=2
足愈乳膏,Chizocin Cream,衛署藥製字第049863號,處方藥,乳膏劑,塑膠瓶裝;;鋁軟管,Naftifine Hydrochloride,黴菌感染,香港腳／股癬／體癬／黴菌感染,1.髮癬菌種、小芽胞癬菌種、毛絮狀表皮黴癬菌在皮膚及其附屬組織所引起之感染。2.表皮念珠菌病。3.甲黴菌病。4.花斑癬。,康衛藥業股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_9e0294a2-867e-41a1-8bed-d280545d1636?c=2
膚敏淨乳膏 0.05%,Fultin Cream 0.05%,衛署藥製字第049864號,處方藥,乳膏劑,鋁管裝;;塑膠瓶裝,Fluticasone,濕疹；皮膚炎；搔癢；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬；扁平苔癬,濕疹／皮膚炎；蕁麻疹／搔癢；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬；扁平苔癬,緩解皮膚病之發炎以及搔癢症狀。如：溼疹、包括異位性、初期和盤狀濕疹；結節性癢疹；乾癬(不包括廣泛性版塊之乾癬)、神經性皮膚病，包括單純苔癬；扁平苔癬、脂漏性皮膚炎、接觸性過敏反應、圓盤狀紅斑性狼瘡、一般性紅皮症全身性類固醇治療之輔助治療、螫刺症、汗疹(痱子)。,明德製藥股份有限公司,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。；依完整適應症判斷為扁平苔癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049864號；https://mcp.fda.gov.tw/insert/lablefiles/89049eec-4012-4425-8b29-c67dedd9e3fc?c=2;https://mcp.fda.gov.tw/insert/lablefiles/43949028-5b71-4823-8827-a89d7c633c1a?c=2
“杏輝”必健乳膏,B-Gencin cream“Sinphar”,衛署藥製字第049877號,處方藥,乳膏劑,鋁管裝;;塑膠罐裝,Betamethasone；Gentamicin,皮膚炎；異位性皮膚炎；黴菌感染,濕疹／皮膚炎；異位性皮膚炎；香港腳／股癬／體癬／黴菌感染,皮膚癬、接觸性皮膚炎、異位性皮膚炎、皮膚溢出性皮膚炎、神經性皮膚炎、剝落性皮膚炎、日曬皮膚炎。,杏輝藥品工業股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049877號；https://mcp.fda.gov.tw/insert/lablefiles/82a80bf1-09f5-4208-b87f-f2967a483d03_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/82a80bf1-09f5-4208-b87f-f2967a483d03_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/82a80bf1-09f5-4208-b87f-f2967a483d03_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/82a80bf1-09f5-4208-b87f-f2967a483d03_8?c=2;https://mcp.fda.gov.tw/insert/lablefiles/82a80bf1-09f5-4208-b87f-f2967a483d03_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/82a80bf1-09f5-4208-b87f-f2967a483d03_1?c=2
喜黴淨洗劑 10 毫克/毫升,Ciloprox Lotion 10mg/ml,衛署藥製字第049882號,指示藥,洗劑,塑膠瓶裝,Ciclopirox,黴菌感染；香港腳,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如足癬 (香港腳)、足癬、汗斑。,昱任藥品有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
益柔軟膏,Softnsupple Ointment,衛署藥製字第049883號,處方藥,軟膏劑,鋁軟管;;塑膠瓶裝,Salicylic acid；Flumethasone Pivalate,濕疹；皮膚炎；膿皰；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬；扁平苔癬,濕疹／皮膚炎；細菌感染／膿皰／傷口感染；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬；扁平苔癬,急慢性之發炎、皮膚疾患、角質化、濕疹、過敏性皮炎、苔癬、牛皮癬、扁平苔癬、慢性紅斑狼瘡、手掌和腳掌膿&#30129;症、魚鱗癬。,康衛藥業股份有限公司,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。；依完整適應症判斷為扁平苔癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049883號；https://mcp.fda.gov.tw/insert/lablefiles/b8ec6ab2-b83b-4096-8dc7-98cfd0b2cb7c?c=2;https://mcp.fda.gov.tw/insert/lablefiles/f95da226-bbd0-4519-8f5f-9bbed464e0bf?c=2;https://mcp.fda.gov.tw/insert/lablefiles/484f1dc0-6877-49c0-9b23-6d9c347f58aa?c=2
小花防蚊液 200 毫克/毫升,Little Flower Repellent Solution 200 mg/ml,衛署藥製字第049885號,指示藥,外用液劑,塑膠瓶裝,Diethyltoluamide,待人工確認,其他常見皮膚外用藥,驅逐蚊、蜱(壁蝨)、蚤。,正和製藥股份有限公司新營廠,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_2610b0d8-e488-47fe-96e3-2c619ed707bd?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_0529f365-5ad9-4c0e-9197-dca32908afd8?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_25214872-9e49-4d43-bf11-2a697d58b6ab?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_4294e7dd-28ae-4de1-b482-005ca20fe653?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_991cfc85-f3bf-47e5-8983-f03ac91199c9?c=2；https://mcp.fda.gov.tw/insert/lablefiles/c492ab98-499d-4bc5-bd73-4b65fcd14d6a_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c492ab98-499d-4bc5-bd73-4b65fcd14d6a_10?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c492ab98-499d-4bc5-bd73-4b65fcd14d6a_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c492ab98-499d-4bc5-bd73-4b65fcd14d6a_11?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c492ab98-499d-4bc5-bd73-4b65fcd14d6a_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c492ab98-499d-4bc5-bd73-4b65fcd14d6a_15?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b72ebb9c-8562-48bd-9dee-3b9549538d6c?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c492ab98-499d-4bc5-bd73-4b65fcd14d6a_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c492ab98-499d-4bc5-bd73-4b65fcd14d6a_12?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c492ab98-499d-4bc5-bd73-4b65fcd14d6a_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c492ab98-499d-4bc5-bd73-4b65fcd14d6a_14?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c492ab98-499d-4bc5-bd73-4b65fcd14d6a_6?c=2
“杏輝”杏化去角質乳膏 40%,Sinpharderm Keratolytic Cream 40%“Sinphar”,衛署藥製字第049888號,處方藥,乳膏劑,塑膠罐裝;;塑膠軟管裝,Urea,待人工確認,其他常見皮膚外用藥,去角質。,杏輝藥品工業股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049888號；https://mcp.fda.gov.tw/insert/lablefiles/d61b6d9a-1535-482b-aa80-5413673ea4fb_0?c=2
“瑞安”特膚格外用乳膏 0.1%,Tarac Topical Cream 0.1%“Purzer”,衛署藥製字第049903號,處方藥,乳膏劑,鋁軟管,Tazarotene,青春痘；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,青春痘外用藥；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,乾癬及尋常性痤瘡。,瑞安大藥廠股份有限公司,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_14d222de-7021-46c5-b268-f0231a2cc168?c=2；https://mcp.fda.gov.tw/insert/lablefiles/9bbb71b6-7d5e-4d9d-9da1-f79be7432f49_0?c=2
〝永勝〞勝黴舒乳膏 1.0%,Sanmasu Cream 1.0%“EVEREST”,衛署藥製字第049906號,處方藥,乳膏劑,鋁管裝;;塑膠罐裝,Butenafine Hydrochloride,黴菌感染；香港腳；股癬；體癬,香港腳／股癬／體癬／黴菌感染,指(趾)間黴菌病(香港腳)、圓癬(體癬)、股癬等皮膚真菌屬黴菌引起之皮膚感染症。,永勝藥品工業股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_442bc127-c7f0-4ac3-a2ba-9e7e381903b7?c=2
“榮民”皮立淨軟膏 0.5 毫克/公克,Pevigen Ointment 0.5mg/gm (Clobetasol Propionate),衛署藥製字第049907號,處方藥,軟膏劑,鋁管裝;;塑膠罐裝;;塑膠軟管裝,Clobetasol,濕疹；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬；扁平苔癬,濕疹／皮膚炎；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬；扁平苔癬,牛皮癬、濕疹、扁平苔癬、盤狀紅斑狼瘡。,榮民製藥股份有限公司,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。；依完整適應症判斷為扁平苔癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049907號；https://mcp.fda.gov.tw/insert/lablefiles/d2cefd9b-753a-4f6e-ac05-03546133e6da?c=2;https://mcp.fda.gov.tw/insert/lablefiles/62e3900c-7c8d-4ab0-ad24-4cf625ecd492?c=2;https://mcp.fda.gov.tw/insert/lablefiles/32826dc1-4876-4aa6-a9df-bab60bb4355a?c=2
"""藥工坊""養髮液5%",Hairs-Regrowth Topical Solution 5%,衛署藥製字第049916號,指示藥,外用液劑,塑膠瓶裝(附幫浦噴頭及玻璃滴管),Minoxidil,待人工確認,其他常見皮膚外用藥,雄激素性禿髮。,溫士頓醫藥股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049916號；https://mcp.fda.gov.tw/insert/lablefiles/107db11d-7be9-470f-a7db-85bd0a742316_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/107db11d-7be9-470f-a7db-85bd0a742316_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/107db11d-7be9-470f-a7db-85bd0a742316_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/107db11d-7be9-470f-a7db-85bd0a742316_2?c=2
“派頓”不樂黴乳膏 10 毫克/公克,Butefin Cream 10mg/g“Patron”,衛署藥製字第049917號,處方藥,乳膏劑,塑膠瓶裝;;鋁軟管,Butenafine Hydrochloride,黴菌感染；香港腳；股癬；體癬,香港腳／股癬／體癬／黴菌感染,指(趾)間黴菌病(香港腳)、圓癬(體癬)、股癬等皮膚真菌屬黴菌引起之皮膚感染症。,臺灣派頓化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_c39ec15d-ef0d-4d83-8df0-776b014d628d?c=2；https://mcp.fda.gov.tw/insert/lablefiles/09e5a7c0-a886-4abd-b828-dca175187700_0?c=2
艾麗痘凝膠 10 毫克/公克,Aledo Gel 10mg/gm,衛署藥製字第049919號,處方藥,外用凝膠劑,鋁軟管;;塑膠瓶裝;;塑膠瓶裝;;鋁軟管,Clindamycin,青春痘,青春痘外用藥,尋常性痤瘡。,美西製藥有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_125b98a4-d010-40ff-95d9-47c43f9251ab?c=2；https://mcp.fda.gov.tw/insert/lablefiles/2d425016-9a60-41ff-887e-45655fdd0028_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/55bd22c0-f6e7-4b58-999f-d7add23487a2?c=2
薇卡抗痘凝膠,Veekal Anti-Acne Gel,衛署藥製字第049925號,處方藥,外用凝膠劑,鋁軟管,Benzoyl peroxide；Clindamycin,青春痘,青春痘外用藥,發炎性痤瘡。,中國化學製藥股份有限公司新豐工廠,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_f588a1fc-1952-4d28-b827-8f65d14741c2?c=2；https://mcp.fda.gov.tw/insert/lablefiles/dcac1429-cb2d-405f-b5f3-f3be6b5c8dcd_0?c=2
“榮民”療黴好乳膏 10 毫克/公克,Lomafine Cream 10mg/gm (Terbinafine Hydrochloride),衛署藥製字第049927號,指示藥,乳膏劑,鋁管裝,Terbinafine,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如足癬(香港腳)、股癬、汗斑。,榮民製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049927號；https://mcp.fda.gov.tw/insert/lablefiles/6d0618d4-9874-40f0-b91f-b1f0163e2c85_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/6d0618d4-9874-40f0-b91f-b1f0163e2c85_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/6d0618d4-9874-40f0-b91f-b1f0163e2c85_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/6d0618d4-9874-40f0-b91f-b1f0163e2c85_2?c=2
髮生密外用液 50 毫克/毫升,Mixidil Topical Solution 50 mg/mL,衛署藥製字第049928號,指示藥,外用液劑,塑膠瓶裝,Minoxidil,待人工確認,其他常見皮膚外用藥,雄激素性禿髮。,壽元化學工業股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049928號；https://mcp.fda.gov.tw/insert/lablefiles/0c0cfc30-ccd3-4e13-9937-b04bb8391e81_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/0c0cfc30-ccd3-4e13-9937-b04bb8391e81_0?c=2
“派頓”角落得軟膏 10%,Kerata Ointment 10%“Patron”,衛署藥製字第049931號,指示藥,軟膏劑,塑膠瓶裝;;塑膠軟管裝,Salicylic acid,病毒疣,病毒疣外用治療,治療疣。,臺灣派頓化學製藥股份有限公司,是,依完整適應症判斷為疣／病毒疣，不列為雞眼或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_d3bf651c-9b5b-4275-b49e-b2c875e80e2c?c=2；https://mcp.fda.gov.tw/insert/lablefiles/07bf56e7-bca6-47ef-b8ad-679eb534cc70_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/07bf56e7-bca6-47ef-b8ad-679eb534cc70_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/07bf56e7-bca6-47ef-b8ad-679eb534cc70_3?c=2
“榮民”肌可舒凝膠 10 毫克/公克,Gincol Gel 10mg/gm (Diclofenac Sodium),衛署藥製字第049933號,指示藥,外用凝膠劑,鋁軟管,Diclofenac,消炎止痛,疼痛／消炎止痛外用藥,短期使用以緩解因發炎反應引起之局部疼痛。,榮民製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第049933號；https://mcp.fda.gov.tw/insert/lablefiles/50c10949-8dd8-4ab6-b339-da8cd401a3f0_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/50c10949-8dd8-4ab6-b339-da8cd401a3f0_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/50c10949-8dd8-4ab6-b339-da8cd401a3f0_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/50c10949-8dd8-4ab6-b339-da8cd401a3f0_3?c=2
